month_year,NewCusRatio
2017-02,814.0
2017-03,500.6
2017-04,132.76470588235293
2017-05,123.21428571428571
2017-06,77.87179487179488
2017-07,76.59183673469387
2017-08,71.17543859649123
2017-09,51.333333333333336
2017-10,48.62921348314607
2017-11,57.868852459016395
2017-12,47.660714285714285
2018-01,52.23664122137404
2018-02,56.151785714285715
2018-03,48.7410071942446
2018-04,40.629629629629626
2018-05,35.178378378378376
2018-06,32.285714285714285
2018-07,39.37748344370861
2018-08,37.01204819277108
